experiment_id,created_at,status,hypothesis,universe_version,data_version,strategy,parameters,position_count,entry_rule,exit_rule,turnover_limit,cost_profile,slippage_model,research_period,validation_period,benchmark,cagr,max_drawdown,sharpe,sortino,calmar,max_stock_positive_contribution_share,max_calendar_year_positive_contribution_share,turnover,net_return,notes
B001,2026-08-19,REJECTED,"A pre-specified 60-session weekly relative-momentum signal may persist among liquid large-cap NSE stocks.",nifty100_v0_20_d037,nifty100_v0_adjusted_ohlcv_d039,"3-position weekly relative-momentum baseline","lookback=60 trading sessions; rebalance=weekly after final NSE trading session close; max_positions=3; forced_max_hold=none",3,"Enter ranks 1-3 at next NSE trading session open after weekly close signal","Exit at weekly rebalance if no longer rank 1-3 or ineligible","<=30 completed round trips per complete calendar year; post-run gate only","ZERODHA_NSE_DELIVERY_2026_08","adverse deterministic slippage 0.05% baseline",2016-01-01..2022-12-31,2023-01-01..2026-08-19,"Nifty 100 TRI",0.173960,0.466630,0.781757,0.745200,0.372801,,,270,2.073076,"Research-period run only; validation period not inspected. Recorded in experiments/results/B001_research. Turnover gate FAIL at 270 completed round trips; drawdown gate FAIL versus benchmark."
B001-S015,2026-08-19,PLANNED,"Robustness check for B001 under higher adverse slippage.",nifty100_v0_20_d037,nifty100_v0_adjusted_ohlcv_d039,"3-position weekly relative-momentum baseline robustness","same as B001 except adverse deterministic slippage=0.15%",3,"Enter ranks 1-3 at next NSE trading session open after weekly close signal","Exit at weekly rebalance if no longer rank 1-3 or ineligible","<=30 completed round trips per complete calendar year; post-run gate only","ZERODHA_NSE_DELIVERY_2026_08","adverse deterministic slippage 0.15% robustness",2016-01-01..2022-12-31,2023-01-01..2026-08-19,"Nifty 100 TRI",,,,,,,,,,"Separate slippage parameter specification registered before any result exists."
B002,2026-08-19,REJECTED,"A 2-position variant may reduce fixed-cost drag but increases concentration versus B001.",nifty100_v0_20_d037,nifty100_v0_adjusted_ohlcv_d039,"2-position weekly relative-momentum cost/concentration variant","lookback=60 trading sessions; rebalance=weekly after final NSE trading session close; max_positions=2; forced_max_hold=none",2,"Enter ranks 1-2 at next NSE trading session open after weekly close signal","Exit at weekly rebalance if no longer rank 1-2 or ineligible","<=30 completed round trips per complete calendar year; post-run gate only","ZERODHA_NSE_DELIVERY_2026_08","adverse deterministic slippage 0.05% baseline",2016-01-01..2022-12-31,2023-01-01..2026-08-19,"Nifty 100 TRI",0.122232,0.534276,0.551182,0.539421,0.228781,,,199,1.241707,"Research-period run only; validation period not inspected. Recorded in experiments/results/B002_research. Turnover gate FAIL at 199 completed round trips; drawdown gate FAIL versus benchmark."
B002-S015,2026-08-19,PLANNED,"Robustness check for B002 under higher adverse slippage.",nifty100_v0_20_d037,nifty100_v0_adjusted_ohlcv_d039,"2-position weekly relative-momentum robustness","same as B002 except adverse deterministic slippage=0.15%",2,"Enter ranks 1-2 at next NSE trading session open after weekly close signal","Exit at weekly rebalance if no longer rank 1-2 or ineligible","<=30 completed round trips per complete calendar year; post-run gate only","ZERODHA_NSE_DELIVERY_2026_08","adverse deterministic slippage 0.15% robustness",2016-01-01..2022-12-31,2023-01-01..2026-08-19,"Nifty 100 TRI",,,,,,,,,,"Separate slippage parameter specification registered before any result exists."
B003,2026-08-19,REJECTED,"A pre-registered hysteresis rule may reduce turnover if B001 churns too much.",nifty100_v0_20_d037,nifty100_v0_adjusted_ohlcv_d039,"weekly momentum with hysteresis","lookback=60 trading sessions; rebalance=weekly; entry_rank<=3; hold_while_rank<=6; max_positions=3",3,"Enter rank 3 or better at next NSE trading session open after weekly close signal","Hold while rank <=6; exit if rank >6 or ineligible","<=30 completed round trips per complete calendar year; post-run gate only","ZERODHA_NSE_DELIVERY_2026_08","adverse deterministic slippage 0.05% baseline",2016-01-01..2022-12-31,2023-01-01..2026-08-19,"Nifty 100 TRI",0.136461,0.512654,0.636888,0.601536,0.266186,,,124,1.448398,"Research-period run only; validation period not inspected. Recorded in experiments/results/B003_research. Turnover gate PASS at 124 completed round trips; drawdown gate FAIL versus benchmark."
B003-S015,2026-08-19,PLANNED,"Robustness check for B003 under higher adverse slippage.",nifty100_v0_20_d037,nifty100_v0_adjusted_ohlcv_d039,"weekly momentum with hysteresis robustness","same as B003 except adverse deterministic slippage=0.15%",3,"Enter rank 3 or better at next NSE trading session open after weekly close signal","Hold while rank <=6; exit if rank >6 or ineligible","<=30 completed round trips per complete calendar year; post-run gate only","ZERODHA_NSE_DELIVERY_2026_08","adverse deterministic slippage 0.15% robustness",2016-01-01..2022-12-31,2023-01-01..2026-08-19,"Nifty 100 TRI",,,,,,,,,,"Separate slippage parameter specification registered before any result exists."
B004,2026-09-03,REJECTED,"An externally specified broad-market trend filter may reduce the downside weakness of the frozen weekly relative-momentum/hysteresis strategy without sacrificing the pre-registered return, risk-adjusted performance, turnover, and diversification gates.",nifty100_v0_20_d037,nifty100_v0_adjusted_ohlcv_d039,"weekly relative momentum with hysteresis + exogenous Nifty 100 TRI SMA200 regime filter","lookback=60 ordinary trading sessions; rebalance=weekly after final ordinary NSE research session close; entry_rank<=3; hold_while_rank<=6; max_positions=3; market_filter=Nifty100_TRI_SMA200; risk_on=TRI>SMA200; risk_off=TRI<=SMA200; warmup=cash until 200 TRI observations",3,"Enter rank 3 or better at next eligible NSE session open only when weekly Nifty 100 TRI regime is RISK_ON","Exit if rank >6 or ineligible; when weekly regime is RISK_OFF schedule full exit of all holdings at next eligible session open and prohibit new entries","<=30 completed round trips per complete calendar year; post-run gate only",ZERODHA_NSE_DELIVERY_2026_08,"adverse deterministic slippage 0.05% baseline",2016-01-01..2022-12-31,2023-01-01..2026-08-19,"Nifty 100 TRI",0.071975,0.306676,0.446175,0.371170,0.234694,0.271728,0.497509,127,0.626643,"Research-period run only; validation period not inspected. Recorded in experiments/results/B004_research. Turnover gate PASS; drawdown gate PASS; stock concentration gate PASS. CAGR gate FAIL, Sharpe gate FAIL, and calendar-year concentration gate FAIL. B004-S015 must not run because the B004 baseline failed frozen Phase 2 promotion gates."
B004-S015,2026-09-03,NOT_RUN,"Robustness check for B004 under higher adverse slippage.",nifty100_v0_20_d037,nifty100_v0_adjusted_ohlcv_d039,"weekly relative momentum with hysteresis + exogenous Nifty 100 TRI SMA200 regime filter robustness","same as B004 except adverse deterministic slippage=0.15%",3,"Same as B004","Same as B004","<=30 completed round trips per complete calendar year; post-run gate only",ZERODHA_NSE_DELIVERY_2026_08,"adverse deterministic slippage 0.15% robustness",2016-01-01..2022-12-31,2023-01-01..2026-08-19,"Nifty 100 TRI",,,,,,,,,,"Not run because B004 failed frozen baseline promotion gates. It is not a rescue trial. Validation holdout sealed."
B005,2026-09-04,PLANNED,"A Barroso/Santa-Clara-style realized-volatility exposure overlay may reduce the downside weakness of the frozen B003 weekly relative-momentum/hysteresis strategy while preserving acceptable return, risk-adjusted performance, turnover, and diversification.",nifty100_v0_20_d037,nifty100_v0_adjusted_ohlcv_d039,"weekly relative momentum with hysteresis + realized-volatility exposure scaling","lookback=60 ordinary trading sessions; rebalance=weekly; entry_rank<=3; hold_while_rank<=6; max_positions=3; volatility_reference=unscaled_B003_daily_NAV_returns; volatility_lookback=126 ordinary sessions; annualization=252; target_volatility=0.12 annualized; exposure_multiplier=min(1.0, target_volatility / realized_volatility); no_leverage; warmup=cash until 126 reference returns",3,"Enter or resize rank 3 or better targets at next eligible NSE session open using equal weights across desired symbols and total exposure set by the frozen volatility multiplier","Exit if rank >6 or ineligible; reduce exposure when the volatility multiplier falls; target cash when multiplier is unavailable or zero","<=30 completed round trips per complete calendar year; post-run gate only",ZERODHA_NSE_DELIVERY_2026_08,"adverse deterministic slippage 0.05% baseline",2016-01-01..2022-12-31,2023-01-01..2026-08-19,"Nifty 100 TRI",,,,,,,,,,"Pre-registered and implemented; no B005 research-period run yet. Validation holdout sealed. B005 consumes Phase 2 baseline slot 2 of 3. Parameters sourced from Barroso and Santa-Clara: six-month daily realized-volatility lookback adapted to 126 ordinary NSE sessions and 12% annualized volatility target. No leverage because the project is long/cash delivery-style."
B005-S015,2026-09-04,PLANNED,"Robustness check for B005 under higher adverse slippage.",nifty100_v0_20_d037,nifty100_v0_adjusted_ohlcv_d039,"weekly relative momentum with hysteresis + realized-volatility exposure scaling robustness","same as B005 except adverse deterministic slippage=0.15%",3,"Same as B005","Same as B005","<=30 completed round trips per complete calendar year; post-run gate only",ZERODHA_NSE_DELIVERY_2026_08,"adverse deterministic slippage 0.15% robustness",2016-01-01..2022-12-31,2023-01-01..2026-08-19,"Nifty 100 TRI",,,,,,,,,,"Pre-registered robustness only. Run only if B005 baseline passes every frozen research-period promotion gate. It is not a rescue trial. Validation holdout sealed."
